,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
2931,657999744345829376,129.84359442743752,16.41832694848992,-4.0582281107830624,-12.310751191363073,1,0,19.3232002258301,18.1004009246826,-65.81035506121759,3.671801665633886,-7.7759281444065556,0.4846499403710315
2932,658040499291330432,128.7374608138732,16.309986145604245,-4.342945869148916,-12.828033472910086,1,0,20.8628005981445,19.3661994934082,-66.43361286441547,4.538803684405822,-8.412033454098474,0.5823240651513997
2933,657790738352849024,129.86662835618344,15.944476882362425,-4.183792103249553,-14.560511283324644,1,0,19.4866008758545,18.3724994659424,-66.21059299966561,3.415979134061427,-9.807522354055079,-0.5484163287677988
2934,657737923139746048,129.7139200393276,15.483605805558676,-5.810015816484816,-13.323028312638272,1,0,17.0697994232178,16.4473991394043,-66.6840871293441,3.313086702632339,-9.574302596522749,1.479088401834158
2935,657756065080927744,129.57511775290362,15.676728337430186,-2.595505081139861,-13.47505061424669,1,0,20.7516994476318,19.9610004425049,-66.58329824490215,3.525337222691111,-8.09834683790257,-1.36145833253848
2936,658044141423586176,128.8764995968115,16.45498284842313,-5.4562973036647024,-14.008624047231823,1,0,20.4862003326416,18.6310997009277,-66.24098103045543,4.494746289233397,-9.977649510591894,0.9552954104352575
2937,657761012883325824,129.58211769828517,15.757279227292566,-6.9234130737179855,-11.84558613068077,1,0,21.5027008056641,19.2131004333496,-66.5099818570801,3.559674945773977,-8.840867249978865,3.204388574740675
2938,657912195733350400,128.3554005662515,15.986026415012308,-4.0417903184990935,-14.665288475006795,1,0,21.8164005279541,19.7863006591797,-66.89819768293,4.6975137936508435,-9.889044845469966,-0.5601439270573474
2939,657947998579466112,129.39753641199698,15.75430909350548,-6.014562717315797,-12.239038232890932,1,0,,19.6756000518799,-66.60128533671002,3.7122009516367176,-8.734245310301251,2.2392455575234935
2940,657911959510295680,128.26358207064257,15.968578738497746,-5.035841388215742,-12.390541386188012,1,0,20.1464004516602,19.2306003570557,-66.95717137360924,4.765646525055735,-8.406420308369896,1.4366482205408133
2941,657973493505490688,129.16202714250434,16.118746744513842,-5.3336341136297145,-12.392263589932323,1,0,21.8383007049561,20.1061000823975,-66.39734173833,4.089954047930331,-8.51894250037853,1.6088823955669103
2942,657920064112562432,128.68065164336338,15.944856526943152,-5.974583617551125,-11.569890714901074,1,0,20.3717002868652,18.4682998657227,-66.7788999150522,4.405388293719157,-8.145619227257207,2.615899659704664
2943,604087253262354432,136.7864220444166,11.299045459775584,-5.291529149660192,-11.959828220329818,1,0,20.9326000213623,19.0198001861572,-66.7522541726309,-4.7377084060521,-8.092990995637201,0.893266969527622
2944,604190813513497472,137.0016413231653,11.53491623227511,-3.2708779443133,-12.591688235864265,1,0,17.9937992095947,17.4416007995605,-66.43969777889868,-4.793584611041667,-7.550561393980994,-1.1747700095094082
2945,604051072457708288,136.25576516183455,10.949035758141498,-5.725010545057284,-13.494859479260139,1,0,20.0820007324219,19.2493000030518,-67.32473135370498,-4.476929575692118,-9.664794649549183,0.5070921659355975
2946,604058459803464960,136.67518885851467,11.178839039019234,-4.149423243859255,-12.959284955292212,1,0,17.6825008392334,16.6222991943359,-66.912340973965,-4.70773600808993,-8.356461356172927,-0.5945294944305732
2947,604181742546553856,136.32524722159036,11.825292743905786,-3.4405522446938432,-14.42123503071827,1,0,21.62619972229,20.3390998840332,-66.5397726760832,-4.077260439271533,-9.21383036288407,-1.914397269711745
2948,603895285403417984,134.10997141753433,11.205367434082076,-3.487986348159241,-13.423129574974492,1,0,18.881799697876,18.0266990661621,-68.1987581096082,-2.543240647656139,-8.517769138427207,-1.1454610952442268
2949,603864121120681088,134.01644380032977,10.972048384097281,-6.288771198242184,-11.42677465469023,1,0,21.2390003204346,19.7893009185791,-68.44628768647237,-2.584633105113093,-8.262895682983714,2.286664436358595
2950,658298712725044224,131.80692756851786,17.189117108927224,-5.334536078914333,-12.54027063156957,1,0,15.701000213623,15.2756996154785,-64.19682355497002,2.4346491903983907,-8.513430617428435,1.2937166316730906
2951,658138248450820352,131.15616181325456,16.318137302034327,-4.80537991380318,-12.240617823261081,1,0,20.0534992218018,18.4225997924805,-65.26431252615379,2.5321683590955204,-8.047387918440075,1.030102932807015
2952,658174399190636032,130.62215150594767,16.359900065041536,-3.608277219952378,-12.381213342868316,1,0,21.9890003204346,20.0284004211426,-65.48638735537838,2.9960005171563497,-7.584353445181264,-0.019802041028698505
2953,658346124872593792,131.71424116700595,17.23180788904529,-3.050860328799865,-13.92584512442958,1,0,18.7716999053955,17.953800201416,-64.20483787792853,2.5326138324260516,-8.554052981759108,-1.3659410039847228
2954,604240330191802368,137.2384153814919,11.958606466728531,-5.0242179597091665,-14.290076172402815,1,0,20.0044002532959,19.1573009490967,-65.95572930606949,-4.768031120891906,-9.88547403704547,-0.5922965752740595
2955,604314233694731008,136.88896645959264,12.323919708784398,-5.915295668009761,-11.676885946599665,1,0,22.0898990631104,19.9773998260498,-65.82428164726974,-4.285335279152038,-8.126863745837001,1.5838645657845816
2956,604332998406278016,135.65638820967857,11.604940445134611,-3.30676433099001,-13.638820208249392,1,0,15.9132995605469,15.4141998291016,-67.07060760376817,-3.633444825327639,-8.518958239850948,-1.5564873665921057
2957,604432671711787904,135.66980989586492,12.060979706544618,-5.521458823603012,-12.019558497585576,1,0,19.6501007080078,18.8257007598877,-66.67364612661652,-3.4072584160297854,-8.26609818894244,1.1863226470612698
2958,604314237988961408,136.8896940248179,12.32385415730076,-5.781047875898542,-11.517030343617645,1,0,21.3600006103516,19.2497005462646,-65.823963036505,-4.285974487481347,-7.920293515906858,1.553565434973701
2959,604473284922206848,136.2520013595167,12.168980794311334,-5.758683322187002,-11.415321868666718,1,0,19.7539005279541,18.6429004669189,-66.2836806406628,-3.836462040899842,-7.849901477149779,1.6482568128315023
2960,658433639121890304,130.44371653050294,17.09611887984402,-3.843141605567669,-14.242691766393854,1,0,18.4629993438721,17.2556991577148,-64.93431727326322,3.513129135740939,-9.288503423095111,-0.708116847218645
2961,658510020820009728,130.03196129165872,17.519016298923262,-4.213090991427578,-14.702173978431508,1,0,21.9244995117188,19.4666996002197,-64.76424678530412,4.065017301502075,-9.871303526817918,-0.5577047465967235
2962,658544002605215488,130.76657509418726,17.468351048497855,-2.9710897494563335,-12.89069306242536,1,0,22.0237007141113,19.8470993041992,-64.45679876131106,3.4330831969476296,-7.652257098473121,-0.8066922832022709
2963,658465357456204544,129.5680013480451,17.02603059141013,-4.843419749861711,-13.32169932098109,1,0,13.0050001144409,12.6090002059937,-65.4141179446222,4.203500939215938,-9.027350306604795,0.7102853403246754
2964,658620590458340992,130.85423894754933,17.80368647422449,-3.7390682282483367,-14.416099117641025,1,0,21.531400680542,19.4953002929688,-64.12423022705912,3.5291838978497805,-9.339605165079066,-0.9069831424549641
2965,658404880020768640,130.05681292798775,16.91351727428547,-6.389293579273782,-11.80363924378379,1,0,20.3311004638672,20.6693000793457,-65.27821473085788,3.7421326418933782,-8.471794564406073,2.7519057551071393
2966,658436834577877120,130.35495920527632,17.107456886255715,-4.776683526939049,-12.117039356919115,1,0,21.9440002441406,19.8477993011475,-64.9670508215807,3.5922353072888127,-7.919050682315661,1.1741935230629414
2967,658874062247831936,128.58545977769822,16.950912523856445,-5.4649897092519755,-13.350818764087224,1,0,15.9010000228882,14.8775997161865,-65.94688626599196,4.982344374457194,-9.39824464871703,1.337790199299051
2968,658912648234814208,128.74791785966377,17.2845431026211,-3.7982929156025538,-13.524506696115388,1,0,20.9969005584717,19.4906997680664,-65.5787086313415,5.012164004961004,-8.705545703925793,-0.20228122539568
2969,658827199861860224,128.6512525676919,16.93298238138786,-6.4274899795162606,-11.365260388752736,1,0,21.3426990509033,20.0895004272461,-65.93132550195162,4.918765493762493,-8.146261475887593,3.1480474927729327
2970,659275938045010176,129.55348117855712,17.734060846183407,-6.749280343242235,-11.97740445033701,1,0,19.7425003051758,20.2061996459961,-64.80491285667165,4.567560544595579,-8.777797063300266,3.058142519491602
